Time,Value,,Average,Minimum,Maximum,,
2020-10-09 00:00:00.0000000,506,,504.4903,502,507,,
2020-10-08 23:00:00.0000000,506,,505.2789,501,509,,
2020-10-08 22:00:00.0000000,501,,503.4783,499,506,,
2020-10-08 21:00:00.0000000,496,,499.6782,496,502,,
2020-10-08 20:00:00.0000000,487,,492.0612,487,496,,
2020-10-08 19:00:00.0000000,489,,488.7751,486,494,,
2020-10-08 18:00:00.0000000,489,,487.729,486,490,,
2020-10-08 17:00:00.0000000,486,,486.3726,483,491,,
2020-10-08 16:00:00.0000000,492,,488.4839,484,492,,
2020-10-08 15:00:00.0000000,498,,493.6298,490,498,,
2020-10-08 14:00:00.0000000,499,,497.3543,495,501,,
2020-10-08 13:00:00.0000000,496,,498.6617,496,502,,
2020-10-08 12:00:00.0000000,499,,497.9641,496,500,,
2020-10-08 11:00:00.0000000,496,,495.4993,493,499,,
2020-10-08 10:00:00.0000000,492,,493.6387,491,496,,
2020-10-08 09:00:00.0000000,493,,494.038,491,498,,
2020-10-08 08:00:00.0000000,492,,492.1378,490,495,,
2020-10-08 07:00:00.0000000,485,,491.3723,485,494,,
2020-10-08 06:00:00.0000000,488,,482.656,480,488,,
2020-10-08 05:00:00.0000000,491,,485.5287,480,491,,
2020-10-08 04:00:00.0000000,503,,496.5392,491,504,,
2020-10-08 03:00:00.0000000,509,,505.1847,502,509,,
2020-10-08 02:00:00.0000000,511,,510.3751,507,513,,
2020-10-08 01:00:00.0000000,512,,510.825,508,513,,
2020-10-08 00:00:00.0000000,513,,513.8093,511,518,,
2020-10-07 23:00:00.0000000,515,,514.831,512,518,,
2020-10-07 22:00:00.0000000,517,,516.6768,515,520,,
2020-10-07 21:00:00.0000000,515,,515.7782,514,519,,
2020-10-07 20:00:00.0000000,506,,508.9229,506,515,,
2020-10-07 19:00:00.0000000,505,,505.4997,503,508,,
2020-10-07 18:00:00.0000000,504,,504.4191,500,507,,
2020-10-07 17:00:00.0000000,508,,507.938,504,510,,
2020-10-07 16:00:00.0000000,505,,509.7008,505,513,,
2020-10-07 15:00:00.0000000,516,,509.7994,503,516,,
2020-10-07 14:00:00.0000000,521,,517.6401,515,522,,
