Time,Value,,Average,Minimum,Maximum,,
2020-10-09 00:00:00.0000000,511,,509.588,508,512,,
2020-10-08 23:00:00.0000000,511,,510.4885,506,515,,
2020-10-08 22:00:00.0000000,506,,508.1856,504,511,,
2020-10-08 21:00:00.0000000,501,,504.2009,501,507,,
2020-10-08 20:00:00.0000000,492,,496.3647,491,501,,
2020-10-08 19:00:00.0000000,494,,492.9545,490,498,,
2020-10-08 18:00:00.0000000,493,,491.9515,490,494,,
2020-10-08 17:00:00.0000000,491,,490.4858,487,495,,
2020-10-08 16:00:00.0000000,495,,492.2765,489,495,,
2020-10-08 15:00:00.0000000,501,,497.1023,493,501,,
2020-10-08 14:00:00.0000000,503,,500.6549,498,504,,
2020-10-08 13:00:00.0000000,499,,501.8702,499,505,,
2020-10-08 12:00:00.0000000,502,,501.1648,499,503,,
2020-10-08 11:00:00.0000000,499,,498.8523,496,502,,
2020-10-08 10:00:00.0000000,495,,497.133,495,499,,
2020-10-08 09:00:00.0000000,497,,497.4855,494,501,,
2020-10-08 08:00:00.0000000,496,,495.8339,494,499,,
2020-10-08 07:00:00.0000000,488,,495.1449,488,498,,
2020-10-08 06:00:00.0000000,492,,486.3822,483,492,,
2020-10-08 05:00:00.0000000,494,,489.0388,484,495,,
2020-10-08 04:00:00.0000000,506,,499.8505,494,507,,
2020-10-08 03:00:00.0000000,513,,508.8625,506,513,,
2020-10-08 02:00:00.0000000,514,,513.955,511,516,,
2020-10-08 01:00:00.0000000,516,,514.5397,512,516,,
2020-10-08 00:00:00.0000000,517,,517.7497,515,521,,
2020-10-07 23:00:00.0000000,520,,519.0072,516,522,,
2020-10-07 22:00:00.0000000,521,,520.8304,519,524,,
2020-10-07 21:00:00.0000000,520,,519.808,518,523,,
2020-10-07 20:00:00.0000000,510,,512.9976,510,520,,
2020-10-07 19:00:00.0000000,509,,509.2917,507,512,,
2020-10-07 18:00:00.0000000,508,,508.21,504,511,,
2020-10-07 17:00:00.0000000,511,,511.0408,508,513,,
2020-10-07 16:00:00.0000000,508,,512.6031,508,516,,
2020-10-07 15:00:00.0000000,519,,512.0926,505,519,,
2020-10-07 14:00:00.0000000,524,,520.2823,517,525,,
2020-10-07 13:00:00.0000000,523,,518.4313,515,524,,
